"story_id","question_id","language_code","cefr_level","prompt","choices_json","correct_index","correct_answer","explanation","canonical_url","license"
"de-auf-dem-weihnachtsmarkt","q1","de","A1","What does Lukas smell at the Christmas market?","[""Mulled wine and roasted almonds"",""Coffee and cake"",""Roses and perfume""]","0","Mulled wine and roasted almonds","At the Christmas market, the scents of mulled wine and roasted almonds are typical and create a festive atmosphere.","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","q2","de","A1","What does Lukas buy for his mother?","[""A candle"",""A wooden star"",""A gingerbread heart""]","1","A wooden star","Lukas buys a wooden star for his mother, a traditional Christmas gift.","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","q3","de","A1","What are the children doing at the Christmas market?","[""They are singing songs"",""They are eating gingerbread"",""They are dancing""]","1","They are eating gingerbread","The children laugh and eat gingerbread, a popular pastry during the Christmas season.","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","CC BY-NC 4.0"
"de-auf-dem-weihnachtsmarkt","q4","de","A1","How does Lukas feel at the end of the visit?","[""Sad"",""Content"",""Tired""]","1","Content","Lukas smiles contentedly because he loves the Christmas season and all its wonders.","https://melolingua.com/learn-german/a1-stories/auf-dem-weihnachtsmarkt","CC BY-NC 4.0"
"de-das-fruehstueck","q1","de","A1","What does Anna do every morning at seven o'clock?","[""She goes to work."",""She makes coffee."",""She eats breakfast.""]","1","She makes coffee.","Anna starts her day with a cup of coffee, which is a typical morning routine in Germany.","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","CC BY-NC 4.0"
"de-das-fruehstueck","q2","de","A1","Where does the bread roll that Anna eats come from?","[""From the supermarket."",""From the bakery."",""From a café.""]","1","From the bakery.","Fresh bread rolls from the bakery are an essential part of the German breakfast.","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","CC BY-NC 4.0"
"de-das-fruehstueck","q3","de","A1","What does Anna think about the day?","[""It will be a good day."",""It will be a long day."",""It will be a rainy day.""]","0","It will be a good day.","Anna is optimistic and believes the sunshine promises a good day.","https://melolingua.com/learn-german/a1-stories/das-fruehstueck","CC BY-NC 4.0"
"de-der-regentag-in-berlin","q1","de","A1","What is the weather like in Berlin?","[""It is snowing"",""It is raining"",""The sun is shining""]","1","It is raining","It rains all day in Berlin, and Emma has an umbrella with her.","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","CC BY-NC 4.0"
"de-der-regentag-in-berlin","q2","de","A1","What does Emma find in the museum?","[""A camera, toys, and old books"",""A restaurant with Berlin food"",""A big television""]","0","A camera, toys, and old books","In the museum, Emma sees telephones, shoes, toys, a camera from 1950, and an old book.","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","CC BY-NC 4.0"
"de-der-regentag-in-berlin","q3","de","A1","What does Emma think at the end?","[""The rain was bad"",""The rainy day was the best day"",""She wants to fly home""]","1","The rainy day was the best day","Emma thinks the rainy day was the best day in Berlin because the museum was so beautiful.","https://melolingua.com/learn-german/a1-stories/der-regentag-in-berlin","CC BY-NC 4.0"
"de-der-supermarkt-am-samstag","q1","de","A1","Where does Lina go on Saturday?","[""To the supermarket next to the park"",""To a floating theater"",""To another planet without butter""]","0","To the supermarket next to the park","Lina goes to the supermarket next to the park to do her shopping.","https://melolingua.com/learn-german/a1-stories/der-supermarkt-am-samstag","CC BY-NC 4.0"
"de-der-supermarkt-am-samstag","q2","de","A1","What does she buy according to the story?","[""Only empty chocolate wrappers"",""Apples, milk, and a small butter for the cake"",""No real glass of water, just air""]","1","Apples, milk, and a small butter for the cake","Lina buys fresh apples, milk, and a small pack of butter for the cake.","https://melolingua.com/learn-german/a1-stories/der-supermarkt-am-samstag","CC BY-NC 4.0"
"de-der-supermarkt-am-samstag","q3","de","A1","What is there outside?","[""The smell of yesterday's rain"",""Only very hot volcanic ash"",""Completely silent sand from the Sahara""]","0","The smell of yesterday's rain","Outside, the street smells of yesterday's rain, creating a fresh atmosphere.","https://melolingua.com/learn-german/a1-stories/der-supermarkt-am-samstag","CC BY-NC 4.0"
